========== key size = 16, value size = 1024 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
(      22,      34 ]     6460   0.169%  97.887% 
(      34,      51 ]      163   0.004%  97.891% 
(      51,      76 ]    40725   1.068%  98.960% 
(      76,     110 ]    34271   0.899%  99.858% 
(     110,     170 ]     3930   0.103%  99.961% 
(     170,     250 ]      933   0.024%  99.986% 
(     250,     380 ]      498   0.013%  99.999% 
(     380,     580 ]       91   0.002% 100.001% 
(     580,     870 ]        5   0.000% 100.001% 
(    1300,    1900 ]        1   0.000% 100.001% 

** Level 2 read latency histogram (micros):
Count: 4890542 Average: 7.0791  StdDev: 20.23
Min: 0  Median: 0.9577  Max: 1762
Percentiles: P50: 0.96 P75: 1.58 P99: 101.08 P99.9: 145.53 P99.99: 314.43
------------------------------------------------------
[       0,       1 ]  2553261  52.208%  52.208% ##########
(       1,       2 ]  1915590  39.169%  91.377% ########
(       2,       3 ]    21381   0.437%  91.815% 
(       3,       4 ]    11599   0.237%  92.052% 
(       4,       6 ]     2525   0.052%  92.103% 
(       6,      10 ]     2932   0.060%  92.163% 
(      10,      15 ]      598   0.012%  92.176% 
(      15,      22 ]     1439   0.029%  92.205% 
(      22,      34 ]     9332   0.191%  92.396% 
(      34,      51 ]      226   0.005%  92.400% 
(      51,      76 ]   209794   4.290%  96.690% #
(      76,     110 ]   153132   3.131%  99.821% #
(     110,     170 ]     6489   0.133%  99.954% 
(     170,     250 ]     1350   0.028%  99.982% 
(     250,     380 ]      817   0.017%  99.998% 
(     380,     580 ]      131   0.003% 100.001% 
